reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
f7a4f9c4-9771-4760-afe5-9c7192a4b8bf,Vijay sharma,https://play-lh.googleusercontent.com/a-/ALV-UjUkAzmniq_FeWG-1UZ6HxIE9qIZqk6pTPvZXGRJEdz6H6_j8XfeNw,Started out great..now pathetic...seems to be the case with every dating app in India,1,5,5.369.0,2024-05-15 15:32:17,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-05-16 12:29:58,5.369.0
4c858149-6c0a-4442-81ab-e96cc66a8ed9,Juliet M,https://play-lh.googleusercontent.com/a/ACg8ocIY4IQfNb1F1kqimp35ztKpb3SewrfBYgeIZbOZRpwQfXFtJQ=mo,Human Traffickers run this app! Delete !,1,2,5.354.0,2024-05-15 05:49:41,,,5.354.0
1615e19a-5620-443d-b9c5-3134ec89df18,D Ky,https://play-lh.googleusercontent.com/a/ACg8ocLG4o0kYUgN7rJJK4ptpi-ptVtR3k1h0JANzgnXFxPdB4enfQ=mo,"Scam, they stole my account. Expensive, not free anything",1,6,,2024-05-14 16:07:27,We’re so sorry to hear this happened and would like our Billing team to have a look. Please send us a message at http://bumble.com/contact or on Facebook or Twitter (@BumbleSupport). We look forward to hearing from you!,2024-05-19 03:46:15,
1bc0341b-8bc4-48a5-b09f-8137400cccf2,TheSatoshi,https://play-lh.googleusercontent.com/a-/ALV-UjVc3LWSK-RgXBxRdFkikvXUThPI3063Am5x2u0syTzitlquChs,"GREAT PLACE TO MURDER!! If they find the body, Bumble will help hide your identity so you can keep murdering everyone that rejects you!! If your suicidal it is also a great site to get your wish come true. I mean it's that or celibacy!",5,29,5.369.0,2024-05-13 18:47:05,,,5.369.0
8cddafb5-006b-4a1b-abfa-7c87e6f640c8,Foever Loved,https://play-lh.googleusercontent.com/a-/ALV-UjWulFPnKspQIpSCOOW5Osdp-P88b5dLMO1PCdxhDHoDFTuCbic,"Never even used this app. Just saw their billboard, and saw all I needed to know about this trash app and whoever created it. Way to miss the mark. How out of touch do y'all need to be when it comes to what actually moves women to actively date in this misogyny society in the first place? Thanks for furthering the plummet of that birthrate by pushing the ""let men use you agenda"" that we haven't heard a million times before. Sincerely, a Karen.",1,98,,2024-05-13 03:10:33,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-05-13 09:13:22,
4ab9c0a9-2fd9-4f88-9828-f17fa962976a,Grace,https://play-lh.googleusercontent.com/a/ACg8ocJ9Pvz107SaSXDbCTEtOu_xGI3wH5LOheZ9GRONWnuNTCJ27N8=mo,This app has gone very downhill and is not worth your time!,1,54,,2024-05-13 03:10:14,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-05-13 09:12:53,
fd0aab2e-17f5-4b0d-b14b-341318cc95da,Angi Kimmel,https://play-lh.googleusercontent.com/a/ACg8ocKh14t15U1pDnm_f9jBTmvjBychlh4EUBuUOKlnkfi37zwf4r8=mo,The new ads mocking celibacy are way out of line. Do better.,1,109,,2024-05-13 03:09:42,,,
51472099-191f-4762-9d5e-288475143338,melody Love,https://play-lh.googleusercontent.com/a-/ALV-UjW-bD_jXCcM7rAeRUZI-9rMCV90GEKx-sOdNKgAE5n-R10Dailvxw,Not safe for women,1,98,,2024-05-13 03:08:33,"We value your opinion and thank you for sharing your feedback with us. Our member's safety is one of our priorities, and we offer several tips on staying safe while using the app. Please message our Support Team on Twitter or Facebook (@BumbleSupport), and we'd be happy to help.",2024-05-13 09:12:51,
d3016bb9-730c-4257-853a-8a89ab7d0b25,Grant Newkirk,https://play-lh.googleusercontent.com/a-/ALV-UjXnkuPD8gkQdzSowgO9Yfc0nx6SCMPwAcjkbsrNN9Ccxv8fuMHU,"Perma-banned for uploading a photo that had a snapchat filter on it. No appeal process. What a joke. Update: I CONTACTED @BUMBLESUPPORT AND THEY REFUSED TO HELP, I CANNOT MAKE IT CLEAR ENOUGH THAT WHATEVER THEY REPLY TO THIS REVIEW WITH, I WAS NOT HELPED, AND MY EMAIL HAS BEEN BLOCKED BY BUMBLE SUPPORT. Whatever reply Bumble leaves to this, know that @BUMBLESUPPORT didn't help me at all and will never help me, and have told me they will never help me.",1,29,5.368.0,2024-05-12 07:30:02,"We want to take a look at this. Please message us at @BumbleSupport on Twitter or Facebook. Or, you can contact us via bumble.com/contact.",2024-05-09 01:46:35,5.368.0
c338d009-3409-4101-b933-656eeaaf7a9f,Rajiv Singh,https://play-lh.googleusercontent.com/a/ACg8ocJf-dOO_bnUzpg9tcVU6V-l_S2RKAWmdRBILhO-SyApL9jAPw=mo,"There's no clear way to cancel a subscription once it's activated, and recurrent billing automatically activates even if your account is deleted. Had to ask my bank to issue a stop payment.",1,40,5.368.0,2024-05-11 17:58:19,"The steps to cancel your subscription will depend on your payment method. You can find instructions on our Help Center here: https://bumble.com/en/help/how-can-i-cancel-my-bumble-boost--bumble-premium-subscription. If you're unable to cancel your subscription following those steps, please reach out to bumble.com/contact.",2024-05-13 13:09:21,5.368.0
26b30aec-7d69-4b10-9eef-ddf8085ef26c,Shivam Mundotiya,https://play-lh.googleusercontent.com/a/ACg8ocIQDdO_M9MgQVv58lhQVr5Lb9MgJ4XKwVBjdJzDauiUbYT--g=mo,Very bad experience I couldn't get a single match using for 2-3 months Can't text anyone Can't see who liked me And I wanted to buy premium Because I thought only premium members can get a match on bumble and maybe that's the truth But after watching bumble premium members reviews online I think I'd pass😂,1,27,,2024-05-11 17:53:18,"We're sorry to hear about your negative experience! Bumble has a huge community of members from all over the world, and has helped create countless love stories. We understand how frustrating it can be, but we urge you to keep going and not lose hope. We're here to support you on @BumbleSupport! 💛",2024-05-13 13:08:51,
82de4817-2923-4c89-be76-7cc91968fb5f,Shellise Ann McCray,https://play-lh.googleusercontent.com/a-/ALV-UjW470BBx9gV-JWLndOp05gLiL5tAPT6Z09qse55LAHSVPVjHbYTxg,"celibacy is the answer. y'all suck. ""for women"" what a joke",1,292,,2024-05-11 17:52:13,,,
cb35a391-bd5a-4c81-9482-99ad4eb6ddbf,Ashley Haas,https://play-lh.googleusercontent.com/a-/ALV-UjWb7Gh-px5hZEz4EaNiPodzEVyyDUR9kJRgP_YdnXfspgJJjwI5og,Immediately deleted my account and uninstalled as soon as I saw they ignorant billboards. Vow of celibacy is not the answer? Be for real...girl bye,1,291,5.368.0,2024-05-11 17:50:57,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-05-12 07:58:20,5.368.0
071ae1d5-09e3-49fc-b81f-d12abc7649db,Brian Lane,https://play-lh.googleusercontent.com/a-/ALV-UjX5ClFaeos3ZefXI3ceGCEngBFGBsrhV7uCNv-hTYjVmvI2FNI,great,5,2,,2024-05-11 17:50:31,We're buzzin'! Thank you for being part of our Community. 🐝,2024-05-12 07:57:55,
aef3effe-0316-443e-a369-0a428828250d,Mahdi Farahani,https://play-lh.googleusercontent.com/a-/ALV-UjUUHxsWDydOKtYFEQBf_901LHPNE2ypMIwA_ckJGyNpJC41Wsnc,not bad,4,1,,2024-05-11 17:50:23,We appreciate your kind words. 🙌,2024-05-12 07:57:53,
489e87df-c545-4a2a-8fda-84d32576ecf4,Rachael Quinn,https://play-lh.googleusercontent.com/a-/ALV-UjX6VUc5qE8IIyHRWLHKI4FNSX0nIx1_94wxCnky2HmWOFZ8kW6Byw,New ads blame women. Celibacy is not the answer? I'll never use this app again.,1,268,,2024-05-11 17:38:30,,,
d59ce2e4-8dfb-4a18-bc8e-6d9bd559eeb1,Gopal Savani,https://play-lh.googleusercontent.com/a-/ALV-UjUuU-I0GuExJfqcRHmBn6TRQtXpwEhoiXISgTsoyklaiBWvCDZM,I have paid money to buy but I have never seen such a bad app till date,1,45,5.368.0,2024-05-11 17:35:03,We’re so sorry to hear you haven’t had a great experience. We’d love to learn more about what you think might make your experience on Bumble better. Please send us a message at bumble.com/contact. We're all ears. 💛,2024-05-12 07:57:52,5.368.0
